Metal,Technology,Market,Reference Product,Location,Scenario,2022,2030,2035,2040,2045,2050
Tin,Solar PV,market for tin,tin,GLO,NZE,2069999.9999999998,4760000.0,4980000.0,4220000.0,3440000.0,4370000.0
Tin,Other low emissions power generation,market for tin,tin,GLO,NZE,80000.0,160000.0,160000.0,120000.0,100000.0,90000.0
Titanium,Other low emissions power generation,market for titanium,titanium,GLO,NZE,5208690.0,22692700.0,19177500.0,15070600.0,11443700.0,9475680.0
Tungsten,Other low emissions power generation,market for tungsten carbide powder,tungsten carbide powder,GLO,NZE,82333.6,169077.0,174207.0,130340.00000000001,110329.0,95172.3
Vanadium,Grid battery storage,vanadium pentoxide production,vanadium pentoxide,ZA,NZE,14047.199999999999,35268700.0,272391000.0,556407000.0,636594000.0,773134000.0
Yttrium,Other low emissions power generation,market for yttrium oxide,yttrium oxide,GLO,NZE,10000.0,20000.0,20000.0,10000.0,10000.0,10000.0
Yttrium,Hydrogen technologies,market for yttrium oxide,yttrium oxide,GLO,NZE,0.0,10000.0,10000.0,0.0,0.0,0.0
Zinc,Solar PV,market for zinc,zinc,GLO,NZE,10452300.0,23967800.0,25097800.0,21280500.0,17351900.0,22003100.0
Zinc,Wind,market for zinc,zinc,GLO,NZE,704627000.0,1699650000.0,1835850000.0,1600500000.0,1375270000.0,1744870000.0
Zinc,Other low emissions power generation,market for zinc,zinc,GLO,NZE,15886700.0,46892200.0,52812200.0,48449499.9999999,39958099.99999981,33866900.0000002
Zirconium,Other low emissions power generation,market for zirconium oxide,zirconium oxide,GLO,NZE,500000.0,1030000.0,1060000.0,800000.0,670000.0,580000.0
Zirconium,Hydrogen technologies,market for zirconium oxide,zirconium oxide,GLO,NZE,130000.0,10110000.0,10930000.0,9300000.0,7970000.0,10270000.0
