Metal,Technology,Market,Reference Product,Location,Scenario,2022,2030,2035,2040,2045,2050
Copper,Hydrogen technologies,"market for copper, cathode (SM)","copper, cathode",World,SPS,2122.8900000000003,11927.1,13168.4,10400.0,10005.5,13696.5
Dysprosium,Wind,market for dysprosium oxide,dysprosium oxide,GLO,SPS,800000.0,1330000.0,1130000.0,940000.0,1020000.0,1330000.0
Dysprosium,Electric vehicles,market for dysprosium oxide,dysprosium oxide,GLO,SPS,530000.0,1770000.0,2470000.0,2810000.0,2980000.0,3110000.0
Gallium,Solar PV,"market for gallium, semiconductor-grade","gallium, semiconductor-grade",GLO,SPS,15553.900000000001,159822.0,811249.0,4388510.0,4591980.0,5031450.0
Graphite (battery-grade),Electric vehicles,"market for graphite, battery grade","graphite, battery grade",CN,SPS,685564000.0,2791720000.0,3825600000.0,3674590000.0,2768200000.0,2215230000.0
Graphite (battery-grade),Grid battery storage,"market for graphite, battery grade","graphite, battery grade",CN,SPS,86618600.0,303455000.0,410257000.0,540578000.0,598629000.0,677000000.0
Hafnium,Other low emissions power generation,market for hafnium sponge,hafnium sponge,GLO,SPS,7904.03,12846.0,8119.87,6292.4,10194.9,7471.83
Indium,Solar PV,market for indium,indium,GLO,SPS,60000.0,80000.0,90000.0,130000.0,130000.0,130000.0
Indium,Other low emissions power generation,market for indium,indium,GLO,SPS,30000.0,40000.0,30000.0,20000.0,30000.0,20000.0
Iridium,Hydrogen technologies,"platinum group metal, extraction and refinery operations",iridium,RU,SPS,198.936,492.349,441.688,268.345,180.725,141.375
Lanthanum,Other low emissions power generation,market for lanthanum oxide,lanthanum oxide,GLO,SPS,3024.92,5136.54,4110.39,3257.4700000000003,3144.4,4318.34
Lead,Solar PV,market for lead,lead,GLO,SPS,2009999.9999999998,2850000.0,2920000.0,2880000.0,3020000.0,3310000.0
Lead,Other low emissions power generation,market for lead,lead,GLO,SPS,10500000.0,13600000.0,9600000.0,10100000.0,14400000.0,14200000.0
Lithium,Electric vehicles,"market for lithium carbonate, battery grade (SM)","lithium carbonate, battery grade",World,SPS,82852700.0,346685000.0,581513000.0,808254000.0,908760000.0,964436000.0
Lithium,Grid battery storage,"market for lithium carbonate, battery grade (SM)","lithium carbonate, battery grade",World,SPS,9219560.0,34806300.0,45353600.0,59387000.0,68291700.0,76644700.0
Magnesium,Other low emissions power generation,market for magnesium,magnesium,GLO,SPS,8055249.999999999,7724760.0,10170800.0,12133000.0,12894100.0,15102800.0
Manganese,Wind,market for manganese sulfate,manganese sulfate,GLO,SPS,100485000.0,138593000.0,123513000.0,108745000.0,121214000.0,151898000.0
Manganese,Other low emissions power generation,market for manganese sulfate,manganese sulfate,GLO,SPS,21543999.9999999,30754000.0,31157999.999999903,36490999.9999999,37056999.9999999,39407000.0
Manganese,Electric vehicles,market for manganese sulfate,manganese sulfate,GLO,SPS,57031600.0,325511000.0,725719000.0,1187030000.0,1475500000.0,1854000000.0
Manganese,Grid battery storage,market for manganese sulfate,manganese sulfate,GLO,SPS,2661310.0,3854530.0,3044250.0,0.0,0.0,0.0
Molybdenum,Solar PV,market for molybdenite,molybdenite,GLO,SPS,259011.0,408536.0,425333.0,415712.0,401002.0,422775.0
Molybdenum,Wind,market for molybdenite,molybdenite,GLO,SPS,13239700.0,18464400.0,16473099.999999998,14511400.0,16171500.000000002,20321600.0
Molybdenum,Other low emissions power generation,market for molybdenite,molybdenite,GLO,SPS,15370688.9999999,30667764.0,22999267.0,26283187.9999999,26378397.9999999,24156625.0
Neodymium,Wind,market for neodymium oxide,neodymium oxide,GLO,SPS,7434920.0,12885500.0,10906800.0,8920510.0,9697750.0,12803300.0
Neodymium,Electric vehicles,market for neodymium oxide,neodymium oxide,GLO,SPS,5164000.0,17933300.0,25232600.0,28716500.0,30390400.0,31744100.0
Nickel,Solar PV,market for ferronickel,ferronickel,GLO,SPS,434666.0,617580.0,633609.0,624495.0,651396.0,711285.0
Nickel,Wind,market for ferronickel,ferronickel,GLO,SPS,45739200.0,60213600.0,53950800.0,47970500.0,53245800.0,65282900.0
Nickel,Other low emissions power generation,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,119196134.0,317812820.0,237831591.0,276604005.0,235753804.0,203107815.0
Nickel,Electric vehicles,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,299268000.0,1184460000.0,1759430000.0,2081340000.0000002,1997760000.0,1799250000.0
Nickel,Grid battery storage,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,12105800.0,17571000.0,14822700.0,0.0,0.0,0.0
Nickel,Hydrogen technologies,"market for nickel, class 1 (SM)","nickel, class 1",World,SPS,955346.0,4714930.0,5192870.0,4092580.0,3929090.0,5367230.0
Niobium,Other low emissions power generation,"market for ferroniobium, 66% Nb","ferroniobium, 66% Nb",GLO,SPS,362905.0,586719.0,636004.0,770993.0,699266.0,756834.0
PGMs,Hydrogen technologies,market for platinum,platinum,GLO,SPS,977.3659999999999,6688.03,9780.1,13460.7,15075.5,15450.4
Praseodymium,Wind,market for praseodymium oxide,praseodymium oxide,GLO,SPS,1230000.0,2300000.0,1970000.0,1620000.0,1800000.0,2480000.0
Praseodymium,Electric vehicles,market for praseodymium oxide,praseodymium oxide,GLO,SPS,770000.0,2690000.0,3780000.0,4310000.0,4560000.0,4760000.0
Selenium,Solar PV,market for selenium,selenium,GLO,SPS,132335.0,149298.0,141600.0,123435.0,103013.0,89666.0
Silicon,Solar PV,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,SPS,1109910000.0,1183530000.0,1152650000.0,1078310000.0,1081880000.0,1137120000.0
Silicon,Electric vehicles,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,SPS,15953000.0,113160000.0,301921000.0,443776000.0,616423000.0,769388000.0
Silicon,Grid battery storage,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,SPS,238354.0,3234120.0,5793330.0,10277200.0,14606100.0,17653600.0
Silver,Solar PV,market for silver,silver,GLO,SPS,6424200.0,7352690.0,6251780.0,4892390.0,3784070.0,2688880.0
Silver,Other low emissions power generation,market for silver,silver,GLO,SPS,47439.9999999999,52080.0000000001,62579.99999999959,69550.00000000041,74590.0000000001,82409.9999999998
Tantalum,Other low emissions power generation,"market for tantalum powder, capacitor-grade","tantalum powder, capacitor-grade",GLO,SPS,58660.700000000004,174866.0,131685.0,158277.0,126020.0,109266.0
Tellurium,Solar PV,"market for tellurium, semiconductor-grade","tellurium, semiconductor-grade",GLO,SPS,696188.0,659550.0,653364.0,615863.0,584241.0,560414.0
Terbium,Wind,market for terbium oxide,terbium oxide,GLO,SPS,280000.0,510000.0,440000.0,370000.0,430000.0,590000.0
Terbium,Electric vehicles,market for terbium oxide,terbium oxide,GLO,SPS,110000.0,370000.0,520000.0,590000.0,630000.0,660000.0
Tin,Solar PV,market for tin,tin,GLO,SPS,2069999.9999999998,2960000.0,3050000.0,3020000.0,3160000.0,3470000.0
Tin,Other low emissions power generation,market for tin,tin,GLO,SPS,80000.0,120000.0,80000.0,60000.0,100000.0,70000.0
Titanium,Other low emissions power generation,market for titanium,titanium,GLO,SPS,5208690.0,10939400.0,6421730.0,7679760.0,7079160.0,7236270.0
Tungsten,Other low emissions power generation,market for tungsten carbide powder,tungsten carbide powder,GLO,SPS,82333.6,133813.0,84581.90000000001,65545.8,106197.0,77831.6
Vanadium,Grid battery storage,vanadium pentoxide production,vanadium pentoxide,ZA,SPS,14047.199999999999,21976000.0,159932000.0,323662000.0,388146000.0,469125000.0
Yttrium,Other low emissions power generation,market for yttrium oxide,yttrium oxide,GLO,SPS,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Yttrium,Hydrogen technologies,market for yttrium oxide,yttrium oxide,GLO,SPS,0.0,0.0,0.0,0.0,0.0,0.0
Zinc,Solar PV,market for zinc,zinc,GLO,SPS,10452300.0,14926400.0,15378100.0,15232600.0,15950300.0,17486200.0
Zinc,Wind,market for zinc,zinc,GLO,SPS,704627000.0,970203000.0,864492000.0,761062000.0,848365000.0,1062660000.0000001
Zinc,Other low emissions power generation,market for zinc,zinc,GLO,SPS,15886700.0,18990600.0,15812900.0,17798399.999999903,22690699.9999999,24063799.9999999
Zirconium,Other low emissions power generation,market for zirconium oxide,zirconium oxide,GLO,SPS,500000.0,820000.0,520000.0,400000.0,650000.0,470000.0
Zirconium,Hydrogen technologies,market for zirconium oxide,zirconium oxide,GLO,SPS,130000.0,640000.0,710000.0,560000.0,540000.0,730000.0
